Rozdělení míst pro prodej zboží       a poskyto-vání služeb§ 1,Městská částhlavního města Prahy,Adresa místa§ 1 odst. 1,Počet prodej-ních míst a velikost prostoru (záboru) v m2(min. 2 m2)§ 3odst. 1,Prodejní doba§ 4,Doba provozu§ 4,Druh prodávaného zboží nebo poskytované služby§ 2
TRŽNÍ MÍSTA,Praha 1,Melantrichova u č. 2/536,14 m2,,celoročně,"jízdenky na okružní jízdy městem, knižní průvodce, orientační plány, pohlednice"
TRŽNÍ MÍSTA,Praha 1,Mostecká u č. 1/56,12 m2,,celoročně,lodní lístky na vyhlídkové plavby
TRŽNÍ MÍSTA,Praha 1,"nábřeží Ludvíka Svobody - náplavka, přístav Praha - Střed - plovoucí zařízení s kombinovaným provozem kotvící po proudu za Štefánikovým mostem",1   plavidlo,dle provozního řádu přístavu Praha-Střed,celoročně,občerstvení (stravovací služby)
TRŽNÍ MÍSTA,Praha 1,"Na Florenci u č.  2/1016, u Masarykova nádraží, u zadního vchodu do Masarykova nádraží",110 m2,,celoročně,"tisk, tabák"
TRŽNÍ MÍSTA,Praha 1,"Na Florenci u č. 2/1016 u Masarykova nádraží, u zadního vchodu do Masarykova nádraží",115 m2,,celoročně,"pečivo, dorty, chlebíčky, zákusky, obložené bagety, pizza, nealkoholické nápoje"
TRŽNÍ MÍSTA,Praha 1,Na Kampě u č. 7/493 v návaznosti na provozní okénko a provozovnu bistro Bruncvik,12 m2,"pá, so, ne10.00-22.00",celoročně,"občerstvení (stravovací služby)-opékané klobásy, nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽNÍ MÍSTA,Praha 1,"Na Kampě u č. 9/514 – proti schodům na Karlův most, u stromu za lavičkou",12 m2,,příležitostně1.5.- 31.10.,"balená zmrzlina, nealko nápoje"
TRŽNÍ MÍSTA,Praha 1,Na Kampě u č. 9/514 – u stromu za lavičkou,12 m2,10.00-22.00,celoročně,lodní lístky na vyhlídkové plavby
TRŽNÍ MÍSTA,Praha 1,Na Kampě u č. 9/514 – směrem k náplavce,12 m2,,celoročně,lodní lístky na vyhlídkové plavby
TRŽNÍ MÍSTA,Praha 1,"Na Kampě u č. 9/514, pod Karlovým mostem, u schodů na most",12 m2,po-ne6.00-22.00,celoročně,lodní lístky na vyhlídkové plavby
TRŽNÍ MÍSTA,Praha 1,"Na Opyši – areál Svatováclavské vinice a Villa Richter, okénko informací za branou vlevo při vstupu od Pražského hradu",15  m2,,celoročně,"občerstvení - nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb., pečivo, zmrzlina, pohlednice, plány, mapy, umělecké předměty, vstupenky na akce v areálu"
TRŽNÍ MÍSTA,Praha 1,"Na Opyši – areál Svatováclavské vinice a Villa Richter, prostranství za branou vlevo při vstupu od Pražského hradu",170  m2,,celoročně,"občerstvení – nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.,  pečivo, zmrzlina, pohlednice, plány, mapy, umělecké předměty, vstupenky na akce v areálu"
TRŽNÍ MÍSTA,Praha 1,"Na Opyši – areál Svatováclavské vinice a Villa Richter, prostranství u kašny na vyhlídkové cestě ve Svatováclavské vinici",130  m2,,celoročně,"občerstvení – nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb., pečivo, zmrzlina, pohlednice, plány, mapy, umělecké předměty, vstupenky na akce v areálu"
TRŽNÍ MÍSTA,Praha 1,"Na Opyši – areál Svatováclavské vinice a Villa Richter, okénko informací za branou vlevo při vstupu ze Starých zámeckých schodů",14  m2,,celoročně,"občerstvení – nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb., pečivo, zmrzlina, pohlednice, plány, mapy, umělecké předměty, vstupenky na akce v areálu"
TRŽNÍ MÍSTA,Praha 1,Na poříčí u č.1/1077 (pojízdný vozík),13 m2,,celoročně,"občerstvení – káva, pečivo, teplé a studené nápoje"
TRŽNÍ MÍSTA,Praha 1,Na poříčí u č.  26/1047,18 m2,po-ne5.00-24.00,celoročně,"tisk, tabák"
TRŽNÍ MÍSTA,Praha 1,Na příkopěu č. 5/390 - 7/391,113 m222 m2,po-ne00.00-24.00,do31.12.2017,"občerstvení (stravovací služby), nealkoholické nápoje, svařené víno1 ks mrazícího boxu1 ks chladícího boxu"
TRŽNÍ MÍSTA,Praha 1,Na příkopě u č. 13/394,116 m2,po-ne00.00-24.00,celoročně,"občerstvení (stravovací služby), nealkoholické nápoje, svařené víno, pečivo, kávové speciality, zmrzlina"
TRŽNÍ MÍSTA,Praha 1,"Na příkopě u č. 14/854, roh ul. Panská",14 m2,po-ne8.30-20.00,celoročně,"jízdenky na okružní jízdy městem, knižní průvodce, orientační plány, pohlednice"
TRŽNÍ MÍSTA,Praha 1,"Na příkopě u č.  17/1047, a č. 19/1096, chodník u začátku domu",12 m2,,"příležitostně8.2. - 14.2.10 dnů před velikonoční sobotou včetně,29.11. -5.12. a 13.12. -23.12.",upomínkové předměty - zdobené perníčky
TRŽNÍ MÍSTA,Praha 1,Na příkopě u č.  19/1096,110 m2,po-ne5.00-24.00,celoročně,"tisk, tabák"
TRŽNÍ MÍSTA,Praha 1,Na příkopě u č.  19/1096,12 m2,po-ne9.00-22.00,celoročně,čištění obuvi
TRŽNÍ MÍSTA,Praha 1,Na příkopě u č.  23/957,113 m222m2,po-ne00.00-24.00,do31.12.2017,"občerstvení (stravovací služby), nealkoholické nápoje, svařené víno1ks mrazícího boxu1ks chladícího boxu"
TRŽNÍ MÍSTA,Praha 1,Na příkopě u č.  23/957,14 m2,po-ne8.00-20.00,celoročně,"jízdenky na okružní jízdy městem, knižní průvodce, orientační plány, pohlednice, telefonní karty"
TRŽNÍ MÍSTA,Praha 1,Na příkopě u č.  31/988,114 m2,,celoročně,"květiny a doplňkový sortiment, který se ke květinám váže"
TRŽNÍ MÍSTA,Praha 1,Na příkopě u č.  31/988,110 m2,po-ne9.30-20.00,celoročně,"tisk, tabák"
TRŽNÍ MÍSTA,Praha 1,Na příkopě u č.  33/969,14 m2,,celoročně,"vstupenky na  okružní jízdy městem, knižní průvodce, orientační plány, pohlednice"
TRŽNÍ MÍSTA,Praha 1,nám. Curieových u č. 7/901,15 m2,po-ne5.00-24.00,celoročně,"tisk, tabák"
TRŽNÍ MÍSTA,Praha 1,nám. Republiky před OD Kotva - městský mobiliář,15 m2,po-ne5.00-24.00,celoročně,"tisk, tabák"
TRŽNÍ MÍSTA,Praha 1,"nám. Republiky, u ústí ul. U Obecního domu při čelní straně výstupu ze stanice metra B",218 m2,,do 31.12.2016,"květiny a doplňkový sortiment, který se ke květinám váže, tisk, tabák"
TRŽNÍ MÍSTA,Praha 1,"nám. Republiky, na ostrůvku, proti č. 3a/2090",114 m2,po-ne5.00-24.00,celoročně,"tisk, tabák"
TRŽNÍ MÍSTA,Praha 1,nám. Republiky u č. 3/1037,14 m2,,celoročně,"jízdenky na okružní jízdy městem, knižní průvodce, orientační plány, pohlednice"
TRŽNÍ MÍSTA,Praha 1,nám. Republiky u č. 3/1037,14 m2,,celoročně,"jízdenky na okružní jízdy městem, knižní průvodce, orientační plány, pohlednice"
TRŽNÍ MÍSTA,Praha 1,"nám. Republiky u Obecního domu u č. 5/1090, chodník",14 m2,,celoročně,"jízdenky na  okružní jízdy městem, knižní průvodce, orientační plány, pohlednice"
TRŽNÍ MÍSTA,Praha 1,nám. Republiky u č. 6/660,18 m2,po-ne5.00-24.00,do 30.6.2016,"tisk, tabák"
TRŽNÍ MÍSTA,Praha 1,nám. Republiky u OC Palladium,15 m2,po-ne8.00-21.00,příležitostně1.5. - 30.9.celoročně,"sezónní ovoce a zeleninapečivo, káva"
TRŽNÍ MÍSTA,Praha 1,"nám. Republiky, mezi vstupem do stanice metra B a trafikou za domem U Hybernů",16 m2,9.00-22.00,celoročně,"trdelník, nealkoholické teplé a studené nápoje, cukrovinky"
TRŽNÍ MÍSTA,Praha 1,nám. U svatého Jiří u č. 3/35 – Pražský hrad,18 m2,po-ne10.00-18.00,celoročně,"občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽNÍ MÍSTA,Praha 1,"nám. U svatého Jiří, východně od zadní lodi katedrály sv. Víta směrem ke vchodu baziliky sv. Jiří",13 m2,po-ne8.00-20.00,celoročně,"pohlednice, plány a mapy města a republiky, knižní průvodce a vstupenky na  akce v areálu Hradu"
TRŽNÍ MÍSTA,Praha 1,Národní  proti OD My,12 m2,,celoročně,"občerstvení (stravovací služby) – párek v rohlíku, balené nealkoholické nápoje"
TRŽNÍ MÍSTA,Praha 1,Národní u č.  26/63,110 m2,po-ne5.00-24.00,celoročně,"tisk, tabák"
TRŽNÍ MÍSTA,Praha 1,"Národní u č. 26/63,naproti OD My",112 m2,,celoročně,"květiny a doplňkový sortiment, který se ke květinám váže"
TRŽNÍ MÍSTA,Praha 1,"Národní u č. 26/63, pozemek parc. č. 737, k.ú. Nové Město",510 m2,po-ne8.00-20.00,příležitostně 1. 3. - 21. 4.15.11.- 10.121.11.-31.12.,velikonoční zbožímikulášské zboží vánoční zboží
TRŽNÍ MÍSTA,Praha 1,Národní u č.  38/37,15 m2,,celoročně,"jízdenky na okružní jízdy městem, knižní průvodce, orientační plány, pohlednice"
TRŽNÍ MÍSTA,Praha 1,Národní u č.  38/37,15 m2,,celoročně,"jízdenky na okružní jízdy městem, knižní průvodce, orientační plány, pohlednice"
TRŽNÍ MÍSTA,Praha 1,"Národní u č.40/36, zadní strana vstupu do metra",13 m2,,příležitostně1.4. - 31.10.,sezónní ovoce a zelenina
TRŽNÍ MÍSTA,Praha 1,"Národní před č. 41/973, při okraji chodníku",113 m222 m2,po-ne6.00-24.00,do31.12.2017,"občerstvení (stravovací služby), nealkoholické nápoje, svařené víno1ks mrazícího boxu,1ks chladícího boxu"
TRŽNÍ MÍSTA,Praha 1,"Novotného lávka, pod zadní zahradou, pod Karlovým mostem, parc.č. 1152/5, vodní plocha, k.ú. Staré Město",1117 m2,po-ne,příležitostně1.4. – 31.10.,půjčovna šlapadel
TRŽNÍ MÍSTA,Praha 1,Opletalova u č.  11/916,114 m2,po-ne5.00-24.00,celoročně,"tisk, tabák"
TRŽNÍ MÍSTA,Praha 1,"Opletalova, pod parkem, proti č. 33/960",110 m2,po-ne5.00-24.00,celoročně,"tisk, tabák"
TRŽNÍ MÍSTA,Praha 1,Ovocný trh,600 m2,,celoročně,"velikonoční, mikulášské              a vánoční  zboží, výrobky tradičních řemesel (košíkářství, keramika, řezbářství, sklářství, kovářství, tkalcovství), výrobky uměleckých řemesel, výtvarné práce, výrobky ze dřeva, proutí, slámy, kůže, šperky, loutky, květiny a doplňkový sortiment, který se ke květinám váže,  cukrovinky, ovoce, balené potraviny, pečivo, občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽNÍ MÍSTA,Praha 1,Ovocný trh - Vánoce na ledě,600 m2,,příležitostně 4.12. - 6.1.,"občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb., balené potraviny, půjčovna bruslí"
TRŽNÍ MÍSTA,Praha 1,Pařížská u č. 2/934,12 m2,,celoročně,lodní lístky na vyhlídkové plavby
TRŽNÍ MÍSTA,Praha 1,"Pařížská u kostela sv. Mikuláše, chodník",14 m2,,celoročně,"jízdenky na okružní jízdy  městem a ČR, knižní průvodce, orientační plány, pohlednice, turistické informace"
TRŽNÍ MÍSTA,Praha 1,"Pařížská, roh ul. Bílkova na straně u hotelu InterContinental",12 m2,po-ne10.00.-22.00,příležitostně 1.6. - 30. 9.,lodní lístky na vyhlídkové plavby
TRŽNÍ MÍSTA,Praha 1,Pařížská u č.  14/119,15 m2,po-ne5.00-24.00,celoročně,"tisk, tabák"
TRŽNÍ MÍSTA,Praha 1,"Petřín – pozemek parc.č. 908/1, k.ú. Malá Strana u dolní stanice lanové dráhy",13 m2,,příležitostně1.5. – 30.9.,zmrzlina
TRŽNÍ MÍSTA,Praha 1,"Petřín – pozemek parc.č. 908/1, k.ú. Malá Strana u dolní stanice lanové dráhy",12 m2,,příležitostně1.5. – 30.9.,"ovoce, zelenina, balená voda"
TRŽNÍ MÍSTA,Praha 1,Petřín u horní stanice lanové dráhy,12 m2,po-ne8.00-20.00,příležitostně1.5. - 31.10.,fotografické služby a práce – koláž Prahy
TRŽNÍ MÍSTA,Praha 1,"Petřín - pozemek parc. č. 279/1, k. ú. Hradčany, u horní stanice lanové dráhy",13 m2,,příležitostně1.5. - 30.9.,"pohledy, balené potraviny, občerstvení (stravovací služby) - zmrzlina, nealkoholické nápoje"
TRŽNÍ MÍSTA,Praha 1,"Petřín, pod Petřínskou rozhlednou",12 m2,,celoročně,"fotografické služby a práce, pohlednice, publikace"
TRŽNÍ MÍSTA,Praha 1,Pohořelec u č.18/137 (pojízdný vozík),13 m2,,celoročně,"občerstvení – káva, pečivo, teplé a studené nápoje"
TRŽNÍ MÍSTA,Praha 1,"Pohořelec u č. 23 v podloubí Královské kanonie premonstrátů na Strahově, Strahovské nádvoří u č. 1/132",12 m2,,celoročně,"upomínkové předměty – paličkovaná krajka, ruční tkaní, ruční malování na hedvábí, proutěné zboží"
TRŽNÍ MÍSTA,Praha 1,"Pražský hrad –III. nádvoří, před Infocentrem",110 m2,po-ne8.00-20.00,celoročně,"pohlednice, plány a mapy města a republiky, knižní průvodce a vstupenky na  akce v areálu Pražského hradu"
TRŽNÍ MÍSTA,Praha 1,"přístaviště Smetanovo nábřeží, parc.č. 1152/7, vodní plocha, k.ú. Staré Město, pravý břeh Vltavy, ř. km  53,5",110 m2,po-ne10.00-22.00,příležitostně1.4. – 15.10.,půjčovna lodiček a šlapadel
TRŽNÍ MÍSTA,Praha 1,"Radnické schody u č. 7/172, výklenek",12 m2,,celoročně,občerstvení (stravovací služby) – zmrzlina
TRŽNÍ MÍSTA,Praha 1,"Revoluční, parc. č. 1018/6, k.ú. Staré Město, u vchodu do OD Kotva před reklamním sloupem",12 m2,po-ne8.00-21.00,celoročně,"občerstvení (stravovací služby) – párek v rohlíku, nealko balené nápoje"
TRŽNÍ MÍSTA,Praha 1,Revoluční u č.  17/764,114 m2,po-ne5.00-24.00,celoročně,"tisk, tabák"
TRŽNÍ MÍSTA,Praha 1,"Slovanský ostrov, proti můstku spojujícímu Slovanský ostrov s Masarykovým nábř., na komunikaci v parc. č. 2407, k.ú. Nové Město",12 m2,,příležitostně1.5. - 30.9.,balené potraviny – zmrzlina
TRŽNÍ MÍSTA,Praha 1,"Slovanský ostrov, proti můstku spojujícímu Slovanský ostrov s Masarykovým nábř., na komunikaci v parc. č. 2407, k.ú. Nové Město",12 m2,po-ne10.00-21.00,příležitostně1.4. - 30.10.,"párek v rohlíku, nealkoholické nápoje"
TRŽNÍ MÍSTA,Praha 1,Slovanský ostrov – na plovoucím zařízení,1161 m2,po-ne11.00-22.00,příležitostně1.4. - 31. 10.,"občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽNÍ MÍSTA,Praha 1,"Slovanský ostrov, přístaviště lodiček, severní špička ostrova, parc.č. 2527, 2528, 2529, k.ú. Nové Město",180 m2,,příležitostně1.4. - 31. 10.,"půjčování nemotorových dopravních prostředků (loděk,  šlapadel)balené potraviny, balená zmrzlina, nealkoholické nápoje"
TRŽNÍ MÍSTA,Praha 1,"Slovanský ostrov, přístaviště lodiček, západní strana ostrova, parc.č. 2527, 2528, k.ú. Nové Město",160 m2,,do 30.6.2017,"půjčování nemotorových dopravních prostředků (loděk,  šlapadel)balené potraviny, balená zmrzlina, nealkoholické nápoje"
TRŽNÍ MÍSTA,Praha 1,"Slovanský ostrov, přístaviště lodiček, východní strana  ostrova, parc.č. 2528, 2529, k.ú. Nové Město",160 m2,,do 30.6.2017,"půjčování nemotorových dopravních prostředků (loděk,  šlapadel)balené potraviny, balená zmrzlina, nealkoholické nápoje"
TRŽNÍ MÍSTA,Praha 1,Slovanský ostrov,12 m2,,celoročně,jízdenky na dětský vláček
TRŽNÍ MÍSTA,Praha 1,Slovanský ostrov uvnitř oválu dětského vláčku,12 m2,po-ne10.00 -19.00,příležitostně1. 4.-31.10.,"občerstvení (stravovací služby) balená zmrzlina, balené nealkoholické nápoje"
TRŽNÍ MÍSTA,Praha 1,Smetanovo nábř. – 20 m od Novotného lávky,12 m2,,příležitostně1.4.-15. 11.,lodní lístky na vyhlídkové plavby
TRŽNÍ MÍSTA,Praha 1,Smetanovo nábř.  – 20 m od Novotného lávky,12 m2,po-ne6.00-22.00,celoročně,"hot dog,  nápoje včetně alkoholických  kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽNÍ MÍSTA,Praha 1,Smetanovo nábř.  – 20 m od Novotného lávky,12 m2,,příležitostně1.5. - 30.9.,sezónní ovoce a zelenina
TRŽNÍ MÍSTA,Praha 1,Smetanovo nabř. - 100 m od Novotného lávky,12 m2,,celoročně,fotografické služby
TRŽNÍ MÍSTA,Praha 1,"Spálená u č. 30/63, pozemek parc. č. 737 a parc. č. 2387/2 (roh ulic Národní x Spálená), k.ú. Nové Město",48 m2,8.00-20.00,příležitostně 1. 3. – 21.4.15.11.- 10.12.1.11.-31.12.,velikonoční zbožímikulášské zboží vánoční zboží
TRŽNÍ MÍSTA,Praha 1,Staroměstské nám. u č. 22/481,12 m2,po-ne9.00-20.00,příležitostně1.12. - 31. 1.,"občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
